"","ID","Total","Domain","Site","Date"
"1","CW1_18-Apr",661279066.022544,"AOA","CW","18-Apr"
"2","CW2_18-Apr",265202915.46702,"AOA","CW","18-Apr"
"3","CW3_18-Apr",0,"AOA","CW","18-Apr"
"4","PW1_18-Apr",11479805555.5556,"AOA","PW","18-Apr"
"5","PW2_18-Apr",15640649158.2492,"AOA","PW","18-Apr"
"6","PW3_18-Apr",15226226495.7265,"AOA","PW","18-Apr"
"7","CW1_18-Jun",57050167.6245211,"AOA","CW","18-Jun"
"8","CW2_18-Jun",99375782.881002,"AOA","CW","18-Jun"
"9","CW3_18-Aug",123429304.648297,"AOA","CW","18-Aug"
"10","PW1_18-Aug",18960837507.8195,"AOA","PW","18-Aug"
"11","PW2_18-Aug",48322483691.0909,"AOA","PW","18-Aug"
"12","PW3_18-Aug",10019948069.2098,"AOA","PW","18-Aug"
"13","CW3_18-Jun",249071038.251366,"AOA","CW","18-Jun"
"14","PW1_18-Jun",7957537480.0638,"AOA","PW","18-Jun"
"15","PW2_18-Jun",7056598930.48128,"AOA","PW","18-Jun"
"16","PW3_18-Jun",11694852185.5189,"AOA","PW","18-Jun"
"17","CW1_18-Aug",0,"AOA","CW","18-Aug"
"18","CW2_18-Aug",0,"AOA","CW","18-Aug"
"19","CW1_18-Oct",446754485.063148,"AOA","CW","18-Oct"
"20","CW2_18-Oct",999506626.029416,"AOA","CW","18-Oct"
"21","CW3_18-Oct",219863777.76852,"AOA","CW","18-Oct"
"22","PW1_18-Oct",27553036100.183,"AOA","PW","18-Oct"
"23","PW3_18-Oct",14394365650.0531,"AOA","PW","18-Oct"
"24","CW1_19-Feb",160962566.84492,"AOA","CW","19-Feb"
"25","PW1_19-Feb",37788879256.9659,"AOA","PW","19-Feb"
"26","CW3_19-Feb",46801817.4563334,"AOA","CW","19-Feb"
"27","CW2_19-Feb",125686145.088732,"AOA","CW","19-Feb"
"28","PW2_19-Feb",6604046221.71078,"AOA","PW","19-Feb"
"29","PW3_19-Feb",37069434183.1425,"AOA","PW","19-Feb"
"30","CW1_18-Apr",137498811513.688,"AOB","CW","18-Apr"
"31","CW2_18-Apr",182194402925.842,"AOB","CW","18-Apr"
"32","CW3_18-Apr",158728215242.791,"AOB","CW","18-Apr"
"33","PW1_18-Apr",608893524971.942,"AOB","PW","18-Apr"
"34","PW2_18-Apr",525897470707.071,"AOB","PW","18-Apr"
"35","PW3_18-Apr",624618735042.735,"AOB","PW","18-Apr"
"36","CW1_18-Jun",242805513409.962,"AOB","CW","18-Jun"
"37","CW2_18-Jun",239926265135.699,"AOB","CW","18-Jun"
"38","CW3_18-Aug",69792414595.0202,"AOB","CW","18-Aug"
"39","PW1_18-Aug",672801066730.953,"AOB","PW","18-Aug"
"40","PW2_18-Aug",879469203177.855,"AOB","PW","18-Aug"
"41","PW3_18-Aug",495059656456.515,"AOB","PW","18-Aug"
"42","CW3_18-Jun",166659658469.945,"AOB","CW","18-Jun"
"43","PW1_18-Jun",645356289633.173,"AOB","PW","18-Jun"
"44","PW2_18-Jun",686319584868.291,"AOB","PW","18-Jun"
"45","PW3_18-Jun",638221581581.581,"AOB","PW","18-Jun"
"46","CW1_18-Aug",163288112689.97,"AOB","CW","18-Aug"
"47","CW2_18-Aug",615891634715.673,"AOB","CW","18-Aug"
"48","CW1_18-Oct",66145192617.0639,"AOB","CW","18-Oct"
"49","CW2_18-Oct",132517920167.733,"AOB","CW","18-Oct"
"50","CW3_18-Oct",82742068366.8864,"AOB","CW","18-Oct"
"51","PW1_18-Oct",326714650691.586,"AOB","PW","18-Oct"
"52","PW3_18-Oct",321131443192.851,"AOB","PW","18-Oct"
"53","CW1_19-Feb",176608128342.246,"AOB","CW","19-Feb"
"54","PW1_19-Feb",267866303405.572,"AOB","PW","19-Feb"
"55","CW3_19-Feb",113026389157.045,"AOB","CW","19-Feb"
"56","CW2_19-Feb",81017289124.1965,"AOB","CW","19-Feb"
"57","PW2_19-Feb",318894663598.006,"AOB","PW","19-Feb"
"58","PW3_19-Feb",401924070629.552,"AOB","PW","19-Feb"
