attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Name	sample name	character				
X16S.17AprCD105	X16S.17AprCD105	numeric	copiesDW			
X16S.17AprCD115	X16S.17AprCD115	numeric	copiesDW			
X16S.17AprCD125	X16S.17AprCD125	numeric	copiesDW			
X16S.17AprCD205	X16S.17AprCD205	numeric	copiesDW			
X16S.17AprCD225	X16S.17AprCD225	numeric	copiesDW			
X16S.17AprCD305	X16S.17AprCD305	numeric	copiesDW			
X16S.17AprCD315	X16S.17AprCD315	numeric	copiesDW			
X16S.17AprCD325	X16S.17AprCD325	numeric	copiesDW			
X16S.17AprCW105	X16S.17AprCW105	numeric	copiesDW			
X16S.17AprCW115	X16S.17AprCW115	numeric	copiesDW			
X16S.17AprCW125	X16S.17AprCW125	numeric	copiesDW			
X16S.17AprCW205	X16S.17AprCW205	numeric	copiesDW			
X16S.17AprCW215	X16S.17AprCW215	numeric	copiesDW			
X16S.17AprCW225	X16S.17AprCW225	numeric	copiesDW			
X16S.17AprCW305	X16S.17AprCW305	numeric	copiesDW			
X16S.17AprCW315	X16S.17AprCW315	numeric	copiesDW			
X16S.17AprCW325	X16S.17AprCW325	numeric	copiesDW			
X16S.17AprPD105	X16S.17AprPD105	numeric	copiesDW			
X16S.17AprPD115	X16S.17AprPD115	numeric	copiesDW			
X16S.17AprPD125	X16S.17AprPD125	numeric	copiesDW			
X16S.17AprPD205	X16S.17AprPD205	numeric	copiesDW			
X16S.17AprPD215	X16S.17AprPD215	numeric	copiesDW			
X16S.17AprPD225	X16S.17AprPD225	numeric	copiesDW			
X16S.17AprPD305	X16S.17AprPD305	numeric	copiesDW			
X16S.17AprPD315	X16S.17AprPD315	numeric	copiesDW			
X16S.17AprPD325	X16S.17AprPD325	numeric	copiesDW			
X16S.17AprPW105	X16S.17AprPW105	numeric	copiesDW			
X16S.17AprPW115	X16S.17AprPW115	numeric	copiesDW			
X16S.17AprPW125	X16S.17AprPW125	numeric	copiesDW			
X16S.17AprPW205	X16S.17AprPW205	numeric	copiesDW			
X16S.17AprPW215	X16S.17AprPW215	numeric	copiesDW			
