attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Sample	Sample name	character				
KO1287	KO1287	numeric	copiesDW			
KO1288	KO1288	numeric	copiesDW			
KO1289	KO1289	numeric	copiesDW			
KO1356	KO1356	numeric	copiesDW			
KO1357	KO1357	numeric	copiesDW			
KO1358	KO1358	numeric	copiesDW			
KO1359	KO1359	numeric	copiesDW			
KO1360	KO1360	numeric	copiesDW			
KO1361	KO1361	numeric	copiesDW			
KO1362	KO1362	numeric	copiesDW			
KO1363	KO1363	numeric	copiesDW			
KO1364	KO1364	numeric	copiesDW			
KO1365	KO1365	numeric	copiesDW			
KO1366	KO1366	numeric	copiesDW			
KO1368	KO1368	numeric	copiesDW			
KO1377	KO1377	numeric	copiesDW			
KO1378	KO1378	numeric	copiesDW			
KO1379	KO1379	numeric	copiesDW			
KO1381	KO1381	numeric	copiesDW			
KO1383	KO1383	numeric	copiesDW			
KO1384	KO1384	numeric	copiesDW			
KO1385	KO1385	numeric	copiesDW			
KO1387	KO1387	numeric	copiesDW			
KO1394	KO1394	numeric	copiesDW			
KO1395	KO1395	numeric	copiesDW			
KO1397	KO1397	numeric	copiesDW			
KO1401	KO1401	numeric	copiesDW			
KO1402	KO1402	numeric	copiesDW			
KO1403	KO1403	numeric	copiesDW			
