attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
ID	sample ID	character				
sample	sampling group	character				
Site	site	categorical				
month	month 	Date		YY-BB		
soil.weight..g.	soil weight used for extraction	numeric	gram			
water	soil relative water content	numeric	dimensionless			
RNA_new	RNA concentration with new kit	numeric	ngul			
RNA.concentration..after.extraction.	RNA concentration immediately after extraction with old kit	numeric	ngul			
RNA.concentration..MegaClear.	RNA concentration from old kit after Megaclear	numeric	ngul			
aRNA..old.kit.	aRNA concentration from old kit	numeric	ngul			
aRNA..new.kit.	aRNA concentration from new kit	numeric	ngul			
