attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
ID	sample ID	character				
X16S.17AprCD105	relative abundance	numeric	dimensionless			
X16S.17AprCD115	relative abundance	numeric	dimensionless			
X16S.17AprCD125	relative abundance	numeric	dimensionless			
X16S.17AprCD205	relative abundance	numeric	dimensionless			
X16S.17AprCD225	relative abundance	numeric	dimensionless			
X16S.17AprCD305	relative abundance	numeric	dimensionless			
X16S.17AprCD315	relative abundance	numeric	dimensionless			
X16S.17AprCD325	relative abundance	numeric	dimensionless			
X16S.17AprCW105	relative abundance	numeric	dimensionless			
X16S.17AprCW115	relative abundance	numeric	dimensionless			
X16S.17AprCW125	relative abundance	numeric	dimensionless			
X16S.17AprCW205	relative abundance	numeric	dimensionless			
X16S.17AprCW215	relative abundance	numeric	dimensionless			
X16S.17AprCW225	relative abundance	numeric	dimensionless			
X16S.17AprCW305	relative abundance	numeric	dimensionless			
X16S.17AprCW315	relative abundance	numeric	dimensionless			
X16S.17AprCW325	relative abundance	numeric	dimensionless			
X16S.17AprPD105	relative abundance	numeric	dimensionless			
X16S.17AprPD115	relative abundance	numeric	dimensionless			
X16S.17AprPD125	relative abundance	numeric	dimensionless			
X16S.17AprPD205	relative abundance	numeric	dimensionless			
X16S.17AprPD215	relative abundance	numeric	dimensionless			
X16S.17AprPD225	relative abundance	numeric	dimensionless			
X16S.17AprPD305	relative abundance	numeric	dimensionless			
X16S.17AprPD315	relative abundance	numeric	dimensionless			
X16S.17AprPD325	relative abundance	numeric	dimensionless			
X16S.17AprPW105	relative abundance	numeric	dimensionless			
X16S.17AprPW115	relative abundance	numeric	dimensionless			
X16S.17AprPW125	relative abundance	numeric	dimensionless			
X16S.17AprPW205	relative abundance	numeric	dimensionless			
X16S.17AprPW215	relative abundance	numeric	dimensionless			
X16S.17AprPW225	relative abundance	numeric	dimensionless			
X16S.17AprPW305	relative abundance	numeric	dimensionless			
X16S.17AprPW315	relative abundance	numeric	dimensionless			
X16S.17AprPW325	relative abundance	numeric	dimensionless			
X16S.17AugCD105	relative abundance	numeric	dimensionless			
X16S.17AugCD125	relative abundance	numeric	dimensionless			
X16S.17AugCD205	relative abundance	numeric	dimensionless			
X16S.17AugCD215	relative abundance	numeric	dimensionless			
X16S.17AugCD225	relative abundance	numeric	dimensionless			
