attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Sample	sample ID	character			NA	Soil property not tested for this sampling date
group	sample group	character			NA	Soil property not tested for this sampling date
loc	location	categorical			NA	Soil property not tested for this sampling date
site	percolation or coastal fen	categorical			NA	Soil property not tested for this sampling date
year	year	Date		YY	NA	Soil property not tested for this sampling date
season	month	categorical			NA	Soil property not tested for this sampling date
season2	sampling date	categorical			NA	Soil property not tested for this sampling date
state	drained or rewetted	categorical			NA	Soil property not tested for this sampling date
depth	sampling depth below surface	categorical			NA	Soil property not tested for this sampling date
water	% water content	numeric	dimensionless		NA	Soil property not tested for this sampling date
TOM	total organic matter	numeric	mgL		NA	Soil property not tested for this sampling date
Bio	biopolymers	numeric	mgL		NA	Soil property not tested for this sampling date
hCOM	humic substances	numeric	mgL		NA	Soil property not tested for this sampling date
lCOM	labile substances	numeric	mgL		NA	Soil property not tested for this sampling date
NO3	nitrate	numeric	mgL		NA	Soil property not tested for this sampling date
NO2	nitrite	numeric	mgL		NA	Soil property not tested for this sampling date
NH4	ammonium	numeric	mgL		NA	Soil property not tested for this sampling date
P	phosphorous	numeric	mgL		NA	Soil property not tested for this sampling date
pH	soil column pH	numeric	dimensionless		NA	Soil property not tested for this sampling date
Salinity	soil column salinity 	numeric	mgL		NA	Soil property not tested for this sampling date
mcrA_DW	mcrA gene copies	numeric	copiesDW		NA	Soil property not tested for this sampling date
mean_temp	average temperature	numeric	celsius		NA	Soil property not tested for this sampling date
sd_temp	temperature standard deviation	numeric	celsius		NA	Soil property not tested for this sampling date
mean_hum	mean air water content	numeric	dimensionless		NA	Soil property not tested for this sampling date
sd_hum	standard deviation air water content	numeric	dimensionless		NA	Soil property not tested for this sampling date
mean_precip	average precipitation	numeric	millimeter		NA	Soil property not tested for this sampling date
sd_precip	standard deviation precipitation	numeric	millimeter		NA	Soil property not tested for this sampling date
Drought_Status	drought or non-drought based on clustering output	categorical			NA	Soil property not tested for this sampling date
Drought_Prop	proportion of days in month under drought water table threshhold	numeric	dimensionless		NA	Soil property not tested for this sampling date
season3	season	categorical			NA	Soil property not tested for this sampling date
Month	month	Date		MM	NA	Soil property not tested for this sampling date
Mean_GW	mean groundwater depth below surface	numeric	centimeter		NA	Soil property not tested for this sampling date
SD_GW	standard deviation groundwater depth below surface	numeric	centimeter		NA	Soil property not tested for this sampling date
aerobic_ammonia_oxidation	AAO activity defined by faprotax	numeric	copiesDW		NA	Soil property not tested for this sampling date
Nutrient_Date	date of nutrient extraction	categorical			NA	Soil property not tested for this sampling date
