attributeName	code	definition
Assigned_Clade_Tree2	NP-Delta	nitrosopumilales clade delta
Assigned_Clade_Tree2	NP-Eta	nitrosopumilales clade eta
Assigned_Clade_Tree2	NP-Gamma	nitrosopumilales clade gamma
Assigned_Clade_Tree2	NS-Delta	nitrososphaerales clade delta
Assigned_Clade_Tree2	NS-Gamma	nitrososphaerales clade gamma
Assigned_Clade_Tree2	NS-UD	nitrososphaerales clade undetermined
Assigned_Clade_Tree2	NS-Zeta	nitrososphaerales clade zeta
Assigned_Clade_Tree2	NT-Alpha	nitrosotaleales clade alpha
Assigned_Clade_Tree2	UD	undetermined
Class	Nitrososphaeria	Nitrososphaeria
Domain	Archaea	Archaea
Drought_Status	Drought	Drought
Drought_Status	Non-drought	Non-drought
Family	AB294262	AB294262
Family	AB722177	AB722177
Family	AY522894	AY522894
Family	Ca. Nitrosotalea family incertae sedis	Ca. Nitrosotalea family incertae sedis
Family	EU309863	EU309863
Family	Nitrosoarchaeum family incertae sedis	Nitrosoarchaeum family incertae sedis
Genus	Ca. Nitrosoarchaeum	Ca. Nitrosoarchaeum
Genus	Ca. Nitrosotalea	Ca. Nitrosotalea
Group	TACK	TACK
Kingdom	Archaea (superkingdom)	Archaea (superkingdom)
Nutrient_Date	April	nutrient samples extracted in April 2023
Nutrient_Date	March	nutrient samples extracted in March 2023
Nutrient_Date	Original	nutrient samples extracted prior to 2020
Order	Ca. Nitrosopumilales	Ca. Nitrosopumilales
Order	Ca. Nitrosotaleales	Ca. Nitrosotaleales
Order	Nitrososphaerales	Nitrososphaerales
Phylum	Thaumarchaeota	Thaumarchaeota
Species	KT453561	KT453561
depth	05-10 cm	soil samples collected at depth of 5-10 cm below surface
depth	15-20 cm	soil samples collected at depth of 15-20 cm below surface
depth	25-30 cm	soil samples collected at depth of 25-30 cm below surface
loc	CD	drained coastal fen
loc	CW	rewetted coastal fen
loc	PD	drained percolation fen
loc	PW	rewetted percolation fen
season	April	April
season	August	August
season	December	December
season	February	February
season	June	June
season	November	November
season	October	October
season2	17-Apr	samples collected April 2017
season2	17-Aug	samples collected August 2017
season2	17-Nov	samples collected November 2017
season2	18-Apr	samples collected April 2018
season2	18-Aug	samples collected August 2018
season2	18-Dec	samples collected December 2018
season2	18-Feb	samples collected February 2018
season2	18-Jun	samples collected June 2018
season2	18-Oct	samples collected October 2018
season2	19-Feb	samples collected February 2019
season2	19-Jun	samples collected June 2019
season2	19-Oct	samples collected October 2019
season3	Autumn	samples collected between months of September and November
season3	Spring	samples collected between months of March and May
season3	Summer	samples collected between months of June and August
season3	Winter	samples collected between months of December and February
site	C	coastal fen
site	P	percolation fen
state	D	drained fen
state	W	rewetted fen
