"","Sample","Site","Date","water","Domain","Abundance","Date2"
"1","X16S.18AprCD105","CD","2018-04",57.1,"AOA",1460911.522,"4/1/2018"
"2","X16S.18AprCD105","CD","2018-04",57.1,"AOB",98724905.97,"4/1/2018"
"3","X16S.18AprCD205","CD","2018-04",50,"AOA",2534472.937,"4/1/2018"
"4","X16S.18AprCD205","CD","2018-04",50,"AOB",40061504.31,"4/1/2018"
"5","X16S.18AprCD305","CD","2018-04",54,"AOA",0,"4/1/2018"
"6","X16S.18AprCD305","CD","2018-04",54,"AOB",50709363.51,"4/1/2018"
"7","X16S.18AprCW105","CW","2018-04",58.6,"AOA",574714.8449,"4/1/2018"
"8","X16S.18AprCW105","CW","2018-04",58.6,"AOB",42235082.69,"4/1/2018"
"9","X16S.18AprCW205","CW","2018-04",63.8,"AOA",370559.1868,"4/1/2018"
"10","X16S.18AprCW205","CW","2018-04",63.8,"AOB",119833237.2,"4/1/2018"
"11","X16S.18AprCW305","CW","2018-04",50.9,"AOA",316795.9364,"4/1/2018"
"12","X16S.18AprCW305","CW","2018-04",50.9,"AOB",84352917.14,"4/1/2018"
"13","X16S.18AprPD105","PD","2018-04",77.9,"AOA",28185243.95,"4/1/2018"
"14","X16S.18AprPD105","PD","2018-04",77.9,"AOB",121090843.3,"4/1/2018"
"15","X16S.18AprPD205","PD","2018-04",75.6,"AOA",128432752.8,"4/1/2018"
"16","X16S.18AprPD205","PD","2018-04",75.6,"AOB",903070606.9,"4/1/2018"
"17","X16S.18AprPD305","PD","2018-04",70.7,"AOA",7989527.153,"4/1/2018"
"18","X16S.18AprPD305","PD","2018-04",70.7,"AOB",171342433.8,"4/1/2018"
"19","X16S.18AprPW105","PW","2018-04",84.4,"AOA",13110064.32,"4/1/2018"
"20","X16S.18AprPW105","PW","2018-04",84.4,"AOB",283949163.8,"4/1/2018"
"21","X16S.18AprPW205","PW","2018-04",78.4,"AOA",9869393.597,"4/1/2018"
"22","X16S.18AprPW205","PW","2018-04",78.4,"AOB",274729773.4,"4/1/2018"
"23","X16S.18AprPW305","PW","2018-04",80.2,"AOA",7441556.666,"4/1/2018"
"24","X16S.18AprPW305","PW","2018-04",80.2,"AOB",211675161.6,"4/1/2018"
"25","X16S.18JunCD105","CD","2018-06",57.3,"AOA",0,"6/1/2018"
"26","X16S.18JunCD105","CD","2018-06",57.3,"AOB",74382160.8,"6/1/2018"
"27","X16S.18JunCD205","CD","2018-06",62.8,"AOA",0,"6/1/2018"
"28","X16S.18JunCD205","CD","2018-06",62.8,"AOB",210386906.1,"6/1/2018"
"29","X16S.18JunCD305","CD","2018-06",35.3,"AOA",27525394.08,"6/1/2018"
"30","X16S.18JunCD305","CD","2018-06",35.3,"AOB",64090660.76,"6/1/2018"
"31","X16S.18JunCW105","CW","2018-06",61.6,"AOA",734478.7081,"6/1/2018"
"32","X16S.18JunCW105","CW","2018-06",61.6,"AOB",115277693.5,"6/1/2018"
"33","X16S.18JunCW205","CW","2018-06",52.1,"AOA",997176.5086,"6/1/2018"
"34","X16S.18JunCW205","CW","2018-06",52.1,"AOB",45439498.33,"6/1/2018"
"35","X16S.18JunCW305","CW","2018-06",51.2,"AOA",0,"6/1/2018"
"36","X16S.18JunCW305","CW","2018-06",51.2,"AOB",124380909.7,"6/1/2018"
"37","X16S.18JunPD105","PD","2018-06",70.7,"AOA",91936442.3,"6/1/2018"
"38","X16S.18JunPD105","PD","2018-06",70.7,"AOB",280566917,"6/1/2018"
"39","X16S.18JunPD205","PD","2018-06",69.7,"AOA",407598.7149,"6/1/2018"
"40","X16S.18JunPD205","PD","2018-06",69.7,"AOB",39850954.45,"6/1/2018"
"41","X16S.18JunPD305","PD","2018-06",63.2,"AOA",5045182.689,"6/1/2018"
"42","X16S.18JunPD305","PD","2018-06",63.2,"AOB",25126925.78,"6/1/2018"
"43","X16S.18JunPW105","PW","2018-06",79.1,"AOA",20248756.24,"6/1/2018"
"44","X16S.18JunPW105","PW","2018-06",79.1,"AOB",62590814.89,"6/1/2018"
"45","X16S.18JunPW205","PW","2018-06",81.3,"AOA",6236241.437,"6/1/2018"
"46","X16S.18JunPW205","PW","2018-06",81.3,"AOB",233792526.3,"6/1/2018"
"47","X16S.18JunPW305","PW","2018-06",77.8,"AOA",1015763.811,"6/1/2018"
"48","X16S.18JunPW305","PW","2018-06",77.8,"AOB",79783789.47,"6/1/2018"
"49","X16S.18AugCD105","CD","2018-08",35.92893401,"AOA",460686.4716,"8/1/2018"
"50","X16S.18AugCD105","CD","2018-08",35.92893401,"AOB",4283603.669,"8/1/2018"
"51","X16S.18AugCD205","CD","2018-08",24.93950178,"AOA",577777.1096,"8/1/2018"
"52","X16S.18AugCD205","CD","2018-08",24.93950178,"AOB",467104.2065,"8/1/2018"
"53","X16S.18AugCD305","CD","2018-08",28.06896552,"AOA",82037220.95,"8/1/2018"
"54","X16S.18AugCD305","CD","2018-08",28.06896552,"AOB",1001638.629,"8/1/2018"
"55","X16S.18AugCW105","CW","2018-08",27.07,"AOA",610347.9148,"8/1/2018"
"56","X16S.18AugCW105","CW","2018-08",27.07,"AOB",7296351.905,"8/1/2018"
"57","X16S.18AugCW205","CW","2018-08",60.23636364,"AOA",1941155.337,"8/1/2018"
"58","X16S.18AugCW205","CW","2018-08",60.23636364,"AOB",21170455.43,"8/1/2018"
"59","X16S.18AugCW305","CW","2018-08",28.11064718,"AOA",1574346.271,"8/1/2018"
"60","X16S.18AugCW305","CW","2018-08",28.11064718,"AOB",2198826.659,"8/1/2018"
"61","X16S.18AugPD105","PD","2018-08",71.65384615,"AOA",691046376.5,"8/1/2018"
"62","X16S.18AugPD105","PD","2018-08",71.65384615,"AOB",39004223.09,"8/1/2018"
"63","X16S.18AugPD205","PD","2018-08",62.83888889,"AOA",279664838.8,"8/1/2018"
"64","X16S.18AugPD205","PD","2018-08",62.83888889,"AOB",9088283.27,"8/1/2018"
"65","X16S.18AugPD305","PD","2018-08",61.40082645,"AOA",24364743.94,"8/1/2018"
"66","X16S.18AugPD305","PD","2018-08",61.40082645,"AOB",369948.765,"8/1/2018"
"67","X16S.18AugPW105","PW","2018-08",80.31027668,"AOA",20502378.54,"8/1/2018"
"68","X16S.18AugPW105","PW","2018-08",80.31027668,"AOB",1783058.014,"8/1/2018"
"69","X16S.18AugPW205","PW","2018-08",81.95185185,"AOA",10857330.69,"8/1/2018"
"70","X16S.18AugPW205","PW","2018-08",81.95185185,"AOB",36596081.75,"8/1/2018"
"71","X16S.18AugPW305","PW","2018-08",76.94144144,"AOA",115789333.7,"8/1/2018"
"72","X16S.18AugPW305","PW","2018-08",76.94144144,"AOB",27646429.51,"8/1/2018"
"73","X16S.18OctCD105","CD","2018-10",38.70967742,"AOA",469218.624,"10/1/2018"
"74","X16S.18OctCD105","CD","2018-10",38.70967742,"AOB",9513567.602,"10/1/2018"
"75","X16S.18OctCD205","CD","2018-10",27.98913043,"AOA",1066810.583,"10/1/2018"
"76","X16S.18OctCD205","CD","2018-10",27.98913043,"AOB",6091086.985,"10/1/2018"
"77","X16S.18OctCD305","CD","2018-10",26.40264026,"AOA",25626606.06,"10/1/2018"
"78","X16S.18OctCD305","CD","2018-10",26.40264026,"AOB",4490772.769,"10/1/2018"
"79","X16S.18OctCW105","CW","2018-10",25.79787234,"AOA",423655.0179,"10/1/2018"
"80","X16S.18OctCW105","CW","2018-10",25.79787234,"AOB",3268532.204,"10/1/2018"
"81","X16S.18OctCW205","CW","2018-10",60.47297297,"AOA",1398027.66,"10/1/2018"
"82","X16S.18OctCW205","CW","2018-10",60.47297297,"AOB",13675968.3,"10/1/2018"
"83","X16S.18OctCW305","CW","2018-10",34.10404624,"AOA",1641232.097,"10/1/2018"
"84","X16S.18OctCW305","CW","2018-10",34.10404624,"AOB",11830558.99,"10/1/2018"
"85","X16S.18OctPD105","PD","2018-10",67.0212766,"AOA",106219798.8,"10/1/2018"
"86","X16S.18OctPD105","PD","2018-10",67.0212766,"AOB",18493906,"10/1/2018"
"87","X16S.18OctPD205","PD","2018-10",57.78364116,"AOA",79019428.73,"10/1/2018"
"88","X16S.18OctPD205","PD","2018-10",57.78364116,"AOB",53268953.45,"10/1/2018"
"89","X16S.18OctPD305","PD","2018-10",56.03644647,"AOA",81890431.56,"10/1/2018"
"90","X16S.18OctPD305","PD","2018-10",56.03644647,"AOB",82083714.35,"10/1/2018"
"91","X16S.18OctPW105","PW","2018-10",81.00263852,"AOA",18554809.12,"10/1/2018"
"92","X16S.18OctPW105","PW","2018-10",81.00263852,"AOB",3398694.772,"10/1/2018"
"93","X16S.18OctPW205","PW","2018-10",79.56656347,"AOA",14401951.14,"10/1/2018"
"94","X16S.18OctPW205","PW","2018-10",79.56656347,"AOB",8390759.146,"10/1/2018"
"95","X16S.18OctPW305","PW","2018-10",80.96885813,"AOA",1785563.805,"10/1/2018"
"96","X16S.18OctPW305","PW","2018-10",80.96885813,"AOB",25722913.6,"10/1/2018"
"97","X16S.18DecCD105","CD","2018-12",28.7,"AOA",346264.3681,"12/1/2018"
"98","X16S.18DecCD105","CD","2018-12",28.7,"AOB",25841513.83,"12/1/2018"
"99","X16S.18DecCD205","CD","2018-12",26.7,"AOA",83427.14166,"12/1/2018"
"100","X16S.18DecCD205","CD","2018-12",26.7,"AOB",9893680.741,"12/1/2018"
"101","X16S.18DecCD305","CD","2018-12",26.9,"AOA",403624.229,"12/1/2018"
"102","X16S.18DecCD305","CD","2018-12",26.9,"AOB",55562778.3,"12/1/2018"
"103","X16S.18DecCW105","CW","2018-12",45.3,"AOA",176858.8353,"12/1/2018"
"104","X16S.18DecCW105","CW","2018-12",45.3,"AOB",35612130.26,"12/1/2018"
"105","X16S.18DecCW205","CW","2018-12",56.2,"AOA",5751639.964,"12/1/2018"
"106","X16S.18DecCW205","CW","2018-12",56.2,"AOB",58699302.71,"12/1/2018"
"107","X16S.18DecCW305","CW","2018-12",64.3,"AOA",335652.5476,"12/1/2018"
"108","X16S.18DecCW305","CW","2018-12",64.3,"AOB",50166397.59,"12/1/2018"
"109","X16S.18DecPD105","PD","2018-12",60.4,"AOA",71542433.98,"12/1/2018"
"110","X16S.18DecPD105","PD","2018-12",60.4,"AOB",74487068.37,"12/1/2018"
"111","X16S.18DecPD205","PD","2018-12",62.2,"AOA",60027650.9,"12/1/2018"
"112","X16S.18DecPD205","PD","2018-12",62.2,"AOB",111356196.7,"12/1/2018"
"113","X16S.18DecPD305","PD","2018-12",41.6,"AOA",15961532.49,"12/1/2018"
"114","X16S.18DecPD305","PD","2018-12",41.6,"AOB",72625430.59,"12/1/2018"
"115","X16S.18DecPW105","PW","2018-12",83.7,"AOA",123130611.6,"12/1/2018"
"116","X16S.18DecPW105","PW","2018-12",83.7,"AOB",77514746.3,"12/1/2018"
"117","X16S.18DecPW205","PW","2018-12",84.1,"AOA",14728890.58,"12/1/2018"
"118","X16S.18DecPW205","PW","2018-12",84.1,"AOB",113983072.8,"12/1/2018"
"119","X16S.18DecPW305","PW","2018-12",76.6,"AOA",48032018.71,"12/1/2018"
"120","X16S.18DecPW305","PW","2018-12",76.6,"AOB",22859970.84,"12/1/2018"
"121","X16S.19FebCD105","CD","2019-02",42.17,"AOA",0,"2/1/2018"
"122","X16S.19FebCD105","CD","2019-02",42.17,"AOB",18388617.63,"2/1/2018"
"123","X16S.19FebCD205","CD","2019-02",36.16,"AOA",32130279.81,"2/1/2018"
"124","X16S.19FebCD205","CD","2019-02",36.16,"AOB",2670653.861,"2/1/2018"
"125","X16S.19FebCD305","CD","2019-02",31.05,"AOA",18175433.45,"2/1/2018"
"126","X16S.19FebCD305","CD","2019-02",31.05,"AOB",29034936.01,"2/1/2018"
"127","X16S.19FebCW105","CW","2019-02",51.72,"AOA",419749.6945,"2/1/2018"
"128","X16S.19FebCW105","CW","2019-02",51.72,"AOB",34161801.16,"2/1/2018"
"129","X16S.19FebCW205","CW","2019-02",54.06,"AOA",182678.934,"2/1/2018"
"130","X16S.19FebCW205","CW","2019-02",54.06,"AOB",15601211.09,"2/1/2018"
"131","X16S.19FebCW305","CW","2019-02",45.48,"AOA",165154.7646,"2/1/2018"
"132","X16S.19FebCW305","CW","2019-02",45.48,"AOB",5480848.207,"2/1/2018"
"133","X16S.19FebPD105","PD","2019-02",66.27,"AOA",29250063.49,"2/1/2018"
"134","X16S.19FebPD105","PD","2019-02",66.27,"AOB",66007028.96,"2/1/2018"
"135","X16S.19FebPD205","PD","2019-02",64.83,"AOA",23264752.13,"2/1/2018"
"136","X16S.19FebPD205","PD","2019-02",64.83,"AOB",67002439.62,"2/1/2018"
"137","X16S.19FebPD305","PD","2019-02",62.06,"AOA",38985888.97,"2/1/2018"
"138","X16S.19FebPD305","PD","2019-02",62.06,"AOB",36003283.42,"2/1/2018"
"139","X16S.19FebPW105","PW","2019-02",83.85,"AOA",28925973.95,"2/1/2018"
"140","X16S.19FebPW105","PW","2019-02",83.85,"AOB",203804408.8,"2/1/2018"
