Sample,Date,Site,Domain,Abundance,RNA_content
RNA.18AprCW105,2018-04,CW,AOA,691800.8454,29.42330918
RNA.18AprCW105,2018-04,CW,AOB,259239832.5,29.42330918
RNA.18AprCW205,2018-04,CW,AOA,1216541.281,41.30028792
RNA.18AprCW205,2018-04,CW,AOB,192374097.9,41.30028792
RNA.18AprCW305,2018-04,CW,AOA,484680.566,29.74595348
RNA.18AprCW305,2018-04,CW,AOB,218673034.1,29.74595348
RNA.18AprPD105,2018-04,PD,AOA,1059746.221,30.23009531
RNA.18AprPD105,2018-04,PD,AOB,2668833.734,30.23009531
RNA.18AprPD205,2018-04,PD,AOA,9728695.58,26.14650342
RNA.18AprPD205,2018-04,PD,AOB,5880871.55,26.14650342
RNA.18AprPD305,2018-04,PD,AOA,1800279.462,28.14695844
RNA.18AprPD305,2018-04,PD,AOB,1760254.487,28.14695844
RNA.18AprPW105,2018-04,PW,AOA,909932.5466,50.00728438
RNA.18AprPW105,2018-04,PW,AOB,65042674.53,50.00728438
RNA.18AprPW205,2018-04,PW,AOA,393061.2795,32.15488215
RNA.18AprPW205,2018-04,PW,AOB,36980558.25,32.15488215
RNA.18AprPW305,2018-04,PW,AOA,1050417.832,38.8986014
RNA.18AprPW305,2018-04,PW,AOB,32512073.43,38.8986014
RNA.18JunCW105,2018-06,CW,AOA,847934.1774,35.53789511
RNA.18JunCW105,2018-06,CW,AOB,71082258.13,35.53789511
RNA.18JunCW205,2018-06,CW,AOA,406128.3552,20.63450641
RNA.18JunCW205,2018-06,CW,AOB,36151366.35,20.63450641
RNA.18JunCW305,2018-06,CW,AOA,503236.2412,19.3940281
RNA.18JunCW305,2018-06,CW,AOB,58693621.19,19.3940281
RNA.18JunPW105,2018-06,PW,AOA,1423066.029,35.40669856
RNA.18JunPW105,2018-06,PW,AOB,53282690.91,35.40669856
RNA.18JunPW205,2018-06,PW,AOA,4110407.011,40.70112894
RNA.18JunPW205,2018-06,PW,AOB,233613328,40.70112894
RNA.18JunPW305,2018-06,PW,AOA,6963946.804,36.60803661
RNA.18JunPW305,2018-06,PW,AOB,80833912.77,36.60803661
RNA.18AugCW105,2018-08,CW,AOA,473083.5384,14.55372972
RNA.18AugCW105,2018-08,CW,AOB,35481090.74,14.55372972
RNA.18AugCW205,2018-08,CW,AOA,2611784.163,53.66532759
RNA.18AugCW205,2018-08,CW,AOB,337436954.2,53.66532759
RNA.18AugCW305,2018-08,CW,AOA,278006.3976,8.543002813
RNA.18AugCW305,2018-08,CW,AOB,30185931.57,8.543002813
RNA.18AugPD105,2018-08,PD,AOA,202203524.3,13.17531083
RNA.18AugPD105,2018-08,PD,AOB,17701240.9,13.17531083
RNA.18AugPD205,2018-08,PD,AOA,30907419.43,18.00397241
RNA.18AugPD205,2018-08,PD,AOB,3810360.72,18.00397241
RNA.18AugPD305,2018-08,PD,AOA,26635859.17,18.00769041
RNA.18AugPD305,2018-08,PD,AOB,1902692.568,18.00769041
RNA.18AugPW105,2018-08,PW,AOA,33224718.26,54.93559504
RNA.18AugPW105,2018-08,PW,AOB,164349501.2,54.93559504
RNA.18AugPW205,2018-08,PW,AOA,53489383.64,79.21372348
RNA.18AugPW205,2018-08,PW,AOB,559696762.2,79.21372348
RNA.18AugPW305,2018-08,PW,AOA,41243423.01,46.23453336
RNA.18AugPW305,2018-08,PW,AOB,172456566.3,46.23453336
RNA.18OctCW105,2018-10,CW,AOA,129828.0832,7.95125448
RNA.18OctCW105,2018-10,CW,AOB,14278035.87,7.95125448
RNA.18OctCW205,2018-10,CW,AOA,844890.2563,51.88468781
RNA.18OctCW205,2018-10,CW,AOB,149363667.7,51.88468781
RNA.18OctCW305,2018-10,CW,AOA,245885.8611,15.21759259
RNA.18OctCW305,2018-10,CW,AOB,82400007.32,15.21759259
RNA.18OctPD105,2018-10,PD,AOA,7926390.362,40.31119545
RNA.18OctPD105,2018-10,PD,AOB,2448260.145,40.31119545
RNA.18OctPD205,2018-10,PD,AOA,8194150.29,27.7760274
RNA.18OctPD205,2018-10,PD,AOB,4814585.485,27.7760274
RNA.18OctPD305,2018-10,PD,AOA,7507499.798,16.0972499
RNA.18OctPD305,2018-10,PD,AOB,4677055.959,16.0972499
RNA.18OctPW105,2018-10,PW,AOA,39730723.7,62.64027777
RNA.18OctPW105,2018-10,PW,AOB,95448248.53,62.64027777
RNA.18OctPW205,2018-10,PW,AOA,666772.6754,37.5435065
RNA.18OctPW205,2018-10,PW,AOB,279481371.1,37.5435065
RNA.18OctPW305,2018-10,PW,AOA,24763372.91,53.37255892
RNA.18OctPW305,2018-10,PW,AOB,100372007.3,53.37255892
RNA.19FebCW105,2019-02,CW,AOA,281270.0535,20.05347594
RNA.19FebCW105,2019-02,CW,AOB,32940280.75,20.05347594
RNA.19FebCW205,2019-02,CW,AOA,97325.54885,12.20536103
RNA.19FebCW205,2019-02,CW,AOB,13607268.8,12.20536103
RNA.19FebCW305,2019-02,CW,AOA,257604.3557,14.57697803
RNA.19FebCW305,2019-02,CW,AOB,44959452.64,14.57697803
RNA.19FebPW105,2019-02,PW,AOA,1606633.377,44.54209528
RNA.19FebPW105,2019-02,PW,AOB,96314797.96,44.54209528
RNA.19FebPW205,2019-02,PW,AOA,1103035.457,29.59579977
RNA.19FebPW205,2019-02,PW,AOB,97268963.61,29.59579977
RNA.19FebPW305,2019-02,PW,AOA,1548707.076,52.72014828
RNA.19FebPW305,2019-02,PW,AOB,158717802.3,52.72014828
