"","KO1381","KO1382","KO1383","KO1368","KO1402","KO1403","KO1401","KO1362","KO1363","KO1365","KO1378","KO1379","KO1361","KO1394","KO1385","KO1377","KO1366","KO1357","KO1358","KO1384","KO1395","KO1360","KO1387","KO1364","KO1356","KO1397","KO1359"
"1",55306410.9,27653205.45,78350748.77,0,0,0,0,13826602.72,9217735.15,9217735.15,9217735.15,0,69133013.62,0,27653205.45,9217735.15,9217735.15,36870940.6,4608867.575,0,0,9217735.15,4608867.575,9217735.15,0,0,4608867.575
"2",21566845.35,14377896.9,43133690.69,0,0,0,0,43133690.69,21566845.35,28755793.8,0,0,165345814.3,7188948.449,43133690.69,0,7188948.449,43133690.69,0,7188948.449,7188948.449,7188948.449,0,7188948.449,0,0,0
"3",14826664.96,25946663.68,22239997.44,0,0,0,0,25946663.68,3706666.24,29653329.92,3706666.24,0,63013326.09,0,44479994.88,7413332.481,7413332.481,25946663.68,3706666.24,0,3706666.24,3706666.24,0,14826664.96,0,0,0
"4",161777558.1,263637502.1,137810512.5,5991761.412,11983522.82,0,0,245662217.9,353513923.3,125826989.6,71901136.94,23967045.65,125826989.6,41942329.88,59917614.12,17975284.24,59917614.12,17975284.24,5991761.412,71901136.94,53925852.71,0,0,5991761.412,0,0,5991761.412
"5",131265937.1,126015299.6,120764662.2,0,0,0,0,325539524.1,330790161.6,126015299.6,89260837.25,5250637.485,215276136.9,21002549.94,99762112.22,0,110263387.2,26253187.43,0,78759562.28,42005099.88,0,10501274.97,5250637.485,0,0,31503824.91
"6",119736964,140867016.4,140867016.4,0,0,0,0,309907436.1,366254242.7,140867016.4,105650262.3,21130052.46,197213823,49303455.75,133823665.6,28173403.29,154953718.1,63390157.39,14086701.64,63390157.39,42260104.93,0,28173403.29,21130052.46,7043350.821,7043350.821,14086701.64
"7",48941366.29,54699174.09,51820270.19,0,0,0,0,112277252.1,46062462.39,51820270.19,2878903.9,0,20152327.3,0,112277252.1,2878903.9,20152327.3,40304654.59,34546846.79,0,5757807.799,11515615.6,5757807.799,28789039,0,0,20152327.3
"8",42470417.17,39436815.95,51571220.85,0,0,0,0,84940834.35,42470417.17,54604822.08,1516800.613,1516800.613,24268809.81,0,92524837.42,3033601.227,34886414.11,25785610.43,10617604.29,0,10617604.29,1516800.613,1516800.613,15168006.13,1516800.613,0,7584003.067
"9",3446816.84,3446816.84,3446816.84,0,0,0,0,28436238.93,24989422.09,12925563.15,0,0,12063858.94,0,32744759.98,861704.21,2585112.63,5170225.26,2585112.63,0,3446816.84,861704.21,0,9478746.31,861704.21,0,2585112.63
"10",17768478.9,13326359.18,4442119.726,0,0,0,0,1288214721,1079435093,31094838.08,57747556.44,0,142147831.2,17768478.9,168800549.6,44421197.26,35536957.81,182126908.8,31094838.08,66631795.89,26652718.36,4442119.726,0,93284514.25,0,0,31094838.08
"11",0,66298850.56,33149425.28,0,0,0,0,629839080.4,464091953.9,46409195.39,112708046,6629885.056,245305747.1,6629885.056,145857471.2,13259770.11,59668965.51,344754022.9,79558620.68,106078160.9,53039080.45,66298850.56,0,139227586.2,6629885.056,0,59668965.51
"12",30377843.38,21698459.56,56415994.84,0,4339691.911,0,0,863598690.3,624915635.2,95473222.04,73774762.49,0,134530449.2,21698459.56,156228908.8,43396919.11,43396919.11,147549525,52076302.93,125851065.4,21698459.56,34717535.29,0,82454146.31,0,4339691.911,52076302.93
"13",17489253.72,3179864.314,12719457.25,0,0,0,0,74726811.37,34978507.45,46108032.55,3179864.314,0,34978507.45,0,84266404.31,4769796.47,0,30208710.98,9539592.941,0,3179864.314,3179864.314,6359728.627,44518100.39,0,1589932.157,6359728.627
"14",117911862,101067310.3,101067310.3,0,4211137.927,0,0,501125413.3,383213551.4,185290068.8,88433896.47,8422275.854,151600965.4,50533655.13,197923482.6,16844551.71,96856172.32,155812103.3,16844551.71,96856172.32,37900241.34,21055689.64,0,105278448.2,0,4211137.927,46322517.2
"15",237069311.9,272988904.6,122126615.2,0,21551755.63,0,14367837.08,452586868.1,258621067.5,201149719.2,179597963.5,0,107758778.1,35919592.71,150862289.4,28735674.17,71839185.42,122126615.2,35919592.71,57471348.33,21551755.63,14367837.08,14367837.08,86207022.5,0,0,14367837.08
"16",50832598.99,36006424.28,52950623.95,0,0,0,0,235100770.3,116491372.7,97429148.06,105901247.9,4236049.916,93193098.15,23298274.54,146143722.1,16944199.66,21180249.58,144025697.1,46596549.07,91075073.19,23298274.54,14826174.71,16944199.66,78366923.44,0,6354074.874,40242474.2
"17",17570858.7,4792052.373,11181455.54,0,0,0,0,39933769.77,39933769.77,20765560.28,0,0,15973507.91,0,60699330.06,0,6389403.164,15973507.91,6389403.164,0,1597350.791,3194701.582,0,33544366.61,0,1597350.791,4792052.373
"18",49313372.41,10958527.2,32875581.61,0,0,0,0,197253489.7,65751163.22,65751163.22,0,10958527.2,32875581.61,0,158898644.4,0,5479263.602,93147481.23,38354845.21,0,5479263.602,32875581.61,5479263.602,120543799.2,0,0,32875581.61
"19",4155095.26,4986114.312,4986114.312,0,0,0,0,30747704.93,12465285.78,7479171.469,0,0,4155095.26,0,21606495.35,0,3324076.208,4155095.26,4155095.26,831019.0521,0,831019.0521,0,7479171.469,831019.0521,0,4155095.26
"20",11120922.34,3706974.114,0,0,0,0,0,155692912.8,74139482.27,63018559.93,74139482.27,3706974.114,81553430.5,0,192762653.9,3706974.114,18534870.57,37069741.14,29655792.91,3706974.114,7413948.227,22241844.68,14827896.45,81553430.5,0,0,37069741.14
"21",1786385.053,0,1786385.053,0,0,0,0,41086856.22,33941316.01,19650235.58,5359155.159,0,26795775.79,0,46446011.38,0,1786385.053,10718310.32,3572770.106,3572770.106,0,1786385.053,1786385.053,14291080.42,0,0,3572770.106
"22",19259662.83,4814915.709,4814915.709,0,0,0,0,1040021793,640383789.3,52964072.8,115557977,19259662.83,308154605.4,33704409.96,235930869.7,33704409.96,178151881.2,202226459.8,24074578.54,91483398.46,57778988.5,19259662.83,4814915.709,125187808.4,0,0,33704409.96
"23",5784988.539,5784988.539,5784988.539,0,0,0,0,439659129,300819404,69419862.47,92559816.63,17354965.62,109914782.2,0,121484759.3,11569977.08,40494919.78,433874140.4,109914782.2,156194690.6,34709931.24,28924942.7,23139954.16,248754507.2,5784988.539,11569977.08,57849885.39
"24",0,2125396.483,6376189.45,0,0,0,0,70138083.94,27630154.28,46758722.63,0,0,29755550.76,0,46758722.63,2125396.483,12752378.9,27630154.28,10626982.42,4250792.966,0,2125396.483,2125396.483,19128568.35,0,0,12752378.9
"25",10833543.93,14444725.24,14444725.24,0,0,0,0,552510740.2,404452306.6,173336702.8,173336702.8,43334175.71,516398927.2,216670878.5,314172773.9,65001263.56,357506949.6,50556538.32,10833543.93,166114340.2,46945357.01,3611181.309,0,65001263.56,0,0,39722994.4
"26",0,5270101.046,3952575.785,0,0,0,0,56653586.25,44795858.9,28985555.76,1317525.262,0,43478333.63,1317525.262,28985555.76,0,6587626.308,11857727.35,6587626.308,0,1317525.262,1317525.262,6587626.308,13175252.62,0,2635050.523,5270101.046
"27",2235174.82,0,6705524.459,0,0,0,0,58114545.31,33527622.3,46938671.21,4470349.639,0,67055244.59,2235174.82,64820069.77,0,11175874.1,22351748.2,13411048.92,2235174.82,0,6705524.459,4470349.639,17881398.56,0,0,11175874.1
"28",83014173.07,43311742.47,86623484.94,0,0,0,0,191293529.2,176856281.8,68576925.58,90232796.81,10827935.62,205730776.7,36093118.73,137153851.2,25265183.11,147981786.8,83014173.07,18046559.36,79404861.2,21655871.24,3609311.873,36093118.73,43311742.47,0,0,18046559.36
"29",69627176.6,97478047.24,51059929.51,0,0,0,0,287792330,208881529.8,69627176.6,129970729.7,13925435.32,218165153.4,37134494.19,139254353.2,18567247.09,176388847.4,227448776.9,60343553.06,60343553.06,32492682.41,32492682.41,41776305.96,97478047.24,13925435.32,9283623.547,60343553.06
