"","ID","sample","Site","month","soil.weight..g.","water","RNA_new","RNA.concentration..after.extraction.","RNA.concentration..MegaClear.","aRNA..old.kit.","aRNA..new.kit."
"1","S250","CW1","CW","18-Apr",0.8,58.6,97.45,150.5,81.45,"467.5",560
"2","S251","CW2","CW","18-Apr",0.71,63.8,106.15,148,83.5,"215",213.5
"3","S252","CW3","CW","18-Apr",0.76,50.9,111,142,75.8,"246",238
"4","S253","PW2","PW","18-Apr",0.88,78.4,68.65,89.75,56.3,"520",900
"5","S254","PW2-1","PW","18-Apr",0.55,78.4,38.2,58.55,27.4,"187.5",193.5
"6","S255","PW2-2","PW","18-Apr",0.52,78.4,40.05,60.25,31.1,"248",251
"7","S256","CW1","CW","18-Jun",0.58,61.6,79.15,176,105.5,"49.65",37
"8","S257","CW2","CW","18-Jun",0.56,52.1,55.35,113,65.05,"46.9",37.9
"9","S260","CW3","CW","18-Aug",0.53,28.11064718,32.55,65.65,36.8,"640",35.2
"10","S261","PW1","PW","18-Aug",0.6,80.31027668,64.9,102.25,50.95,"1023",26.3
"11","S262","PW2","PW","18-Aug",0.59,81.95185185,84.35,149,72.05,"713",25.9
"12","S263","PW3","PW","18-Aug",0.59,76.94144144,62.9,102.5,50.25,"1150",21.95
"13","S264","CW3","CW","18-Jun",0.56,51.2,53,121,70.7,"48.75",840
"14","S265","PW1","PW","18-Jun",0.6,79.1,44.4,91.4,51.2,"43.05",964
"15","S266","PW2","PW","18-Jun",0.54,81.3,41.1,98.7,47.55,"51.8",631
"16","S267","PW3","PW","18-Jun",0.63,77.8,51.2,98.25,50.6,"40.45",901
"17","S268","CW1","CW","18-Aug",0.57,27.07,60.5,115.5,64,"39.65",34.4
"18","S269","CW2","CW","18-Aug",0.56,60.23636364,119.5,209.5,115.5,"37.1",32.2
"19","S272","CW1","CW","18-Oct",0.5,25.79787234,29.5,55.7,32.95,"981",848
"20","S273","CW2","CW","18-Oct",0.59,60.47297297,121,200,108.5,"557",496
"21","S274","CW3","CW","18-Oct",0.54,34.10404624,54.15,103.5,56.7,"815",760
"22","S275","PW1","PW","18-Oct",0.85,81.00263852,101.15,163,82.05,"968",814
"23","S276","PW2","PW","18-Oct",0.7,79.56656347,53.7,89.05,41.45,"346,5",363.5
"24","S277","PW3","PW","18-Oct",0.54,80.96885813,54.85,108.5,53.15,"387,5",451
"25","S278","CW1","CW","19-Feb",0.66,51.72,63.9,100.9,48.55,"462",575
"26","S279","PW1","PW","19-Feb",0.56,83.85,31.4,56.2,27.75,"471",545
"27","S280","CW3","CW","19-Feb",0.57,45.48,45.3,86,44.4,"411",470.5
"28","S281","CW2","CW","19-Feb",0.62,54.06,44.6,66.3,32.6,"493",545
"29","S282","PW2","PW","19-Feb",0.55,74.72,41.15,76.4,36.25,"175,5",181
"30","S283","PW3","PW","19-Feb",0.64,80.78,64.85,93.55,46.7,"228",270.5
