"","Sample","KO3016","KO3017","KO3018","KO3019","KO3020","KO3021","KO3022","KO3023","KO3024","KO3025","KO3026","KO3027","KO3028","KO3029","KO3030","KO3031","KO3032","KO3033","KO3034","KO3035","KO3036","KO3037","KO3038","KO3039","KO3040","KO3041","KO3042","KO3043","KO3044","KO9494","KO9495","KO9496","KO9497","KO9498","KO9499","KO9500","KO9501","KO9502","KO9503","KO9504","KO9505"
"1","CW1_18-Apr",1281265185.7987,87568483.921494,0,64524146.0474166,41479808.1733393,50697543.3229702,0,4608867.57481548,0,0,0,55306410.8977857,156701497.543726,13826602.7244464,96786219.071125,46088675.7481548,0,69133013.6222322,23044337.8740774,4608867.57481548,4608867.57481548,0,0,0,0,9217735.14963095,4608867.57481548,0,4608867.57481548,1792849486.60322,0,59915278.4726012,13826602.7244464,27653205.4488929,4608867.57481548,0,73741881.1970476,64524146.0474166,0,18435470.2992619,0
"2","CW2_18-Apr",2731800410.53181,143778968.975358,7188948.44876792,122212123.629055,150967917.424126,107834226.731519,0,21566845.3463038,0,7188948.44876792,7188948.44876792,57511587.5901434,237235298.809341,35944742.2438396,194101608.116734,136590020.526591,0,43133690.6926075,64700536.0389113,7188948.44876792,35944742.2438396,0,0,0,0,57511587.5901434,14377896.8975358,7188948.44876792,7188948.44876792,3493828946.10121,7188948.44876792,50322639.1413755,35944742.2438396,43133690.6926075,0,14377896.8975358,179723711.219198,79078432.9364471,0,14377896.8975358,0
"3","CW3_18-Apr",1634639812.01425,126026652.173434,3706666.24039513,63013326.0867172,63013326.0867172,70426658.5675075,0,14826664.9615805,0,3706666.24039513,11119998.7211854,74133324.8079026,170506647.058176,11119998.7211854,122319985.933039,81546657.2886929,0,74133324.8079026,37066662.4039513,7413332.48079026,14826664.9615805,0,0,0,3706666.24039513,22239997.4423708,18533331.2019756,22239997.4423708,3706666.24039513,2646559695.64212,14826664.9615805,81546657.2886929,66719992.3271124,59306659.8463221,25946663.6827659,3706666.24039513,192746644.500547,77839991.0482977,0,22239997.4423708,0
"4","PW1_18-Apr",2270877575.02321,203719887.996805,0,113843466.821744,83884659.7633902,89876421.1750609,0,5991761.41167073,0,0,17975284.2350122,53925852.7050365,209711649.408475,41942329.8816951,119835228.233415,89876421.1750609,5991761.41167073,71901136.9400487,77892898.3517195,0,17975284.2350122,0,0,0,0,5991761.41167073,5991761.41167073,17975284.2350122,17975284.2350122,3127699456.89212,0,41942329.8816951,29958807.0583536,35950568.4700244,71901136.9400487,0,287604547.760195,83884659.7633902,0,29958807.0583536,0
"5","PW2_18-Apr",2037247344.28866,105012749.705601,0,68258287.3086408,115514024.676161,157519124.558402,0,26253187.4264003,0,5250637.48528006,26253187.4264003,47255737.3675206,215276136.896483,31503824.9116804,131265937.132002,73508924.7939209,0,42005099.8822405,31503824.9116804,5250637.48528006,5250637.48528006,0,5250637.48528006,0,0,5250637.48528006,10501274.9705601,5250637.48528006,5250637.48528006,3024367191.52132,5250637.48528006,68258287.3086408,21002549.9411202,52506374.8528006,21002549.9411202,5250637.48528006,283534424.205123,99762112.2203212,5250637.48528006,10501274.9705601,0
"6","PW3_18-Apr",2824383679.32805,154953718.067873,0,105650262.319004,105650262.319004,154953718.067873,0,42260104.9276017,0,0,28173403.2850678,84520209.8552035,309907436.135746,56346806.5701356,204257173.816742,91563560.6764704,0,49303455.7488687,119736963.961538,7043350.82126696,35216754.1063348,0,7043350.82126696,0,0,21130052.4638009,7043350.82126696,7043350.82126696,0,3972449863.19456,14086701.6425339,84520209.8552035,28173403.2850678,42260104.9276017,56346806.5701356,7043350.82126696,316950786.957013,105650262.319004,0,7043350.82126696,0
"7","CW1_18-Jun",4050617786.62349,299406005.549995,2878903.89951919,141066291.07644,97882732.5836523,158339714.473555,0,51820270.1913453,0,0,97882732.5836523,192886561.267785,587296395.501914,43183558.4927878,443351200.525955,164097522.272594,20152327.2966343,161218618.373074,120913963.779806,5757807.79903837,5757807.79903837,0,5757807.79903837,2878903.89951919,0,31667942.894711,46062462.392307,46062462.392307,57578077.9903837,5435370562.29222,0,155460810.574036,0,34546846.7942302,48941366.2918261,0,218796696.363458,138187387.176921,0,28789038.9951918,0
"8","CW2_18-Jun",2710522696.10907,183532874.218913,0,104659242.323182,100108840.483043,130444852.750632,0,43987217.7880039,0,0,47020819.0147628,118310447.843597,385267355.798379,33369613.4943478,210835285.259743,116793647.230217,16684806.7471739,95558438.6429051,57638423.308419,6067202.45351779,3033601.22675889,0,1516800.61337945,0,3033601.22675889,19718407.9739328,18201607.3605534,39436815.9478656,21235208.5873122,3710094300.32613,4550401.84013834,72806429.4422134,0,37920015.3344861,51571220.8549012,7584003.06689723,189600076.672431,130444852.750632,0,39436815.9478656,0
"9","CW3_18-Aug",916853279.393877,64627815.7467489,0,25851126.2986995,36191576.8181794,33606464.1883094,0,10340450.5194798,0,0,14648971.5692631,39638393.658006,144766307.272718,8617042.09956652,68936336.7965321,24989422.0887429,5170225.25973991,37053281.028136,16372379.9891764,4308521.04978326,0,0,3446816.83982661,0,861704.209956652,10340450.5194798,9478746.30952317,7755337.88960986,7755337.88960986,1290832906.51506,2585112.62986995,31021351.5584395,0,19819196.829003,18095788.4090897,861704.209956652,54287365.227269,35329872.6082227,0,13787267.3593064,0
"10","PW1_18-Aug",4699762670.07408,342043218.899531,4442119.72596794,191011148.216621,204337507.394525,182126908.764686,0,53305436.7116153,0,4442119.72596794,31094838.0817756,79958155.0674229,670760078.621159,88842394.5193588,275411423.010012,124379352.327102,8884239.45193588,151032070.68291,155474190.408878,22210598.6298397,17768478.9038718,4442119.72596794,4442119.72596794,0,0,62189676.1635512,44421197.2596794,22210598.6298397,13326359.1779038,6623200511.4182,13326359.1779038,137705711.505006,53305436.7116153,84400274.7933909,97726633.9712947,8884239.45193588,377580176.707275,239874465.202269,4442119.72596794,31094838.0817756,0
