month,sample,Site,Subunit,Amount
18-Apr,CW1,CW,amo-A,0
18-Apr,CW1,CW,amo-B,0
18-Apr,CW1,CW,amo-C,0
18-Apr,CW2,CW,amo-A,0
18-Apr,CW2,CW,amo-B,0
18-Apr,CW2,CW,amo-C,0
18-Apr,CW3,CW,amo-A,0
18-Apr,CW3,CW,amo-B,0
18-Apr,CW3,CW,amo-C,0
18-Apr,PW2,PW,amo-A,0
18-Apr,PW2,PW,amo-B,0
18-Apr,PW2,PW,amo-C,5092997.2
18-Apr,PW2-1,PW,amo-A,0
18-Apr,PW2-1,PW,amo-B,0
18-Apr,PW2-1,PW,amo-C,0
18-Apr,PW2-2,PW,amo-A,0
18-Apr,PW2-2,PW,amo-B,0
18-Apr,PW2-2,PW,amo-C,5986848.198
18-Jun,CW1,CW,amo-A,0
18-Jun,CW1,CW,amo-B,0
18-Jun,CW1,CW,amo-C,0
18-Jun,CW2,CW,amo-A,0
18-Jun,CW2,CW,amo-B,0
18-Jun,CW2,CW,amo-C,0
18-Aug,CW3,CW,amo-A,0
18-Aug,CW3,CW,amo-B,0
18-Aug,CW3,CW,amo-C,1464897.157
18-Aug,PW1,PW,amo-A,7551603.534
18-Aug,PW1,PW,amo-B,22654810.6
18-Aug,PW1,PW,amo-C,11327405.3
18-Aug,PW2,PW,amo-A,22541609.19
18-Aug,PW2,PW,amo-B,16906206.89
18-Aug,PW2,PW,amo-C,219780689.6
18-Aug,PW3,PW,amo-A,7377476.249
18-Aug,PW3,PW,amo-B,7377476.249
18-Aug,PW3,PW,amo-C,51642333.74
18-Jun,CW3,CW,amo-A,0
18-Jun,CW3,CW,amo-B,0
18-Jun,CW3,CW,amo-C,0
18-Jun,PW1,PW,amo-A,0
18-Jun,PW1,PW,amo-B,0
18-Jun,PW1,PW,amo-C,21476803.43
18-Jun,PW2,PW,amo-A,6106330.761
18-Jun,PW2,PW,amo-B,0
18-Jun,PW2,PW,amo-C,36637984.56
18-Jun,PW3,PW,amo-A,3600642.428
18-Jun,PW3,PW,amo-B,9001606.071
18-Jun,PW3,PW,amo-C,79214133.43
18-Aug,CW1,CW,amo-A,0
18-Aug,CW1,CW,amo-B,0
18-Aug,CW1,CW,amo-C,0
18-Aug,CW2,CW,amo-A,0
18-Aug,CW2,CW,amo-B,0
18-Aug,CW2,CW,amo-C,0
18-Oct,CW1,CW,amo-A,0
18-Oct,CW1,CW,amo-B,0
18-Oct,CW1,CW,amo-C,706366.1943
18-Oct,CW2,CW,amo-A,3150927.997
18-Oct,CW2,CW,amo-B,0
18-Oct,CW2,CW,amo-C,12603711.99
18-Oct,CW3,CW,amo-A,0
18-Oct,CW3,CW,amo-B,0
18-Oct,CW3,CW,amo-C,0
18-Oct,PW1,PW,amo-A,45019461.88
18-Oct,PW1,PW,amo-B,24556070.11
18-Oct,PW1,PW,amo-C,192355882.6
18-Oct,PW2,PW,amo-A,0
18-Oct,PW2,PW,amo-B,0
18-Oct,PW2,PW,amo-C,9733407.369
18-Oct,PW3,PW,amo-A,9834480.517
18-Oct,PW3,PW,amo-B,24586201.29
18-Oct,PW3,PW,amo-C,127848246.7
19-Feb,CW1,CW,amo-A,0
19-Feb,CW1,CW,amo-B,0
19-Feb,CW1,CW,amo-C,0
19-Feb,PW1,PW,amo-A,3069504.112
19-Feb,PW1,PW,amo-B,0
19-Feb,PW1,PW,amo-C,95154627.49
19-Feb,CW3,CW,amo-A,0
19-Feb,CW3,CW,amo-B,0
19-Feb,CW3,CW,amo-C,0
19-Feb,CW2,CW,amo-A,0
19-Feb,CW2,CW,amo-B,0
19-Feb,CW2,CW,amo-C,0
19-Feb,PW2,PW,amo-A,0
19-Feb,PW2,PW,amo-B,0
19-Feb,PW2,PW,amo-C,15339575.46
19-Feb,PW3,PW,amo-A,0
19-Feb,PW3,PW,amo-B,3945540.008
19-Feb,PW3,PW,amo-C,110475120.2
