month,sample,Site,Subunit,Amount
18-Apr,CW1,CW,amo-B,0
18-Apr,CW1,CW,amo-C,0
18-Apr,CW2,CW,amo-B,0
18-Apr,CW2,CW,amo-C,0
18-Apr,CW3,CW,amo-B,0
18-Apr,CW3,CW,amo-C,0
18-Apr,PW2,PW,amo-B,0
18-Apr,PW2,PW,amo-C,5092997.2
18-Apr,PW2-1,PW,amo-B,0
18-Apr,PW2-1,PW,amo-C,0
18-Apr,PW2-2,PW,amo-B,0
18-Apr,PW2-2,PW,amo-C,0
18-Jun,CW1,CW,amo-B,0
18-Jun,CW1,CW,amo-C,0
18-Jun,CW2,CW,amo-B,0
18-Jun,CW2,CW,amo-C,0
18-Aug,CW3,CW,amo-B,0
18-Aug,CW3,CW,amo-C,0
18-Aug,PW1,PW,amo-B,0
18-Aug,PW1,PW,amo-C,0
18-Aug,PW2,PW,amo-B,0
18-Aug,PW2,PW,amo-C,0
18-Aug,PW3,PW,amo-B,0
18-Aug,PW3,PW,amo-C,0
18-Jun,CW3,CW,amo-B,0
18-Jun,CW3,CW,amo-C,0
18-Jun,PW1,PW,amo-B,0
18-Jun,PW1,PW,amo-C,0
18-Jun,PW2,PW,amo-B,0
18-Jun,PW2,PW,amo-C,0
18-Jun,PW3,PW,amo-B,0
18-Jun,PW3,PW,amo-C,0
18-Aug,CW1,CW,amo-B,0
18-Aug,CW1,CW,amo-C,0
18-Aug,CW2,CW,amo-B,0
18-Aug,CW2,CW,amo-C,0
18-Oct,CW1,CW,amo-B,0
18-Oct,CW1,CW,amo-C,0
18-Oct,CW2,CW,amo-B,3150927.997
18-Oct,CW2,CW,amo-C,0
18-Oct,CW3,CW,amo-B,0
18-Oct,CW3,CW,amo-C,0
18-Oct,PW1,PW,amo-B,4092678.352
18-Oct,PW1,PW,amo-C,0
18-Oct,PW2,PW,amo-B,0
18-Oct,PW2,PW,amo-C,0
18-Oct,PW3,PW,amo-B,0
18-Oct,PW3,PW,amo-C,0
19-Feb,CW1,CW,amo-B,0
19-Feb,CW1,CW,amo-C,0
19-Feb,PW1,PW,amo-B,9208512.337
19-Feb,PW1,PW,amo-C,0
19-Feb,CW3,CW,amo-B,0
19-Feb,CW3,CW,amo-C,0
19-Feb,CW2,CW,amo-B,0
19-Feb,CW2,CW,amo-C,0
19-Feb,PW2,PW,amo-B,0
19-Feb,PW2,PW,amo-C,0
19-Feb,PW3,PW,amo-B,0
19-Feb,PW3,PW,amo-C,0
