"","Sample","group","loc","site","year","season","season2","state","depth","water","TOM","Bio","hCOM","lCOM","NO3","NO2","NH4","P","pH","Salinity","mcrA_DW","mean_temp","sd_temp","mean_hum","sd_hum","mean_precip","sd_precip","Drought_Status","Drought_Prop","season3","Month","Mean_GW","SD_GW","aerobic_ammonia_oxidation","Nutrient_Date"
"1","X16S.17AprCD105","17AprCD1","CD","C",17,"April","17-Apr","D","05-10 cm",44.1740413,422.0214135,54.41017173,182.1733157,90.50896962,0.241150212,0.067173052,2.278289633,0.470211361,3.85,1.323,429000,7.615555556,2.248042713,72.45555556,9.855851223,1.293333333,2.291954945,"Non-drought",0,"Spring",NA,NA,NA,1,"Original"
"2","X16S.17AprCD115","17AprCD1","CD","C",17,"April","17-Apr","D","15-20 cm",62.42138365,469.6037411,58.28956436,217.6417672,99.75166133,0.329154765,0.097834113,2.506370582,0.489170564,4.05,1.323,420000,7.615555556,2.248042713,72.45555556,9.855851223,1.293333333,2.291954945,"Non-drought",0,"Spring",NA,NA,NA,2.69,"Original"
"3","X16S.17AprCD125","17AprCD1","CD","C",17,"April","17-Apr","D","25-30 cm",91.03546836,1243.291099,192.4666234,400.0009193,359.6262167,1.488651358,0.416234047,15.17096017,1.248702141,4.04,1.323,956000,7.615555556,2.248042713,72.45555556,9.855851223,1.293333333,2.291954945,"Non-drought",0,"Spring",NA,NA,NA,3.35,"Original"
"4","X16S.17AprCD205","17AprCD2","CD","C",17,"April","17-Apr","D","05-10 cm",41.15076475,485.0568747,47.12237238,203.7571894,94.92359384,0.152534592,0.064042365,2.132945465,0.512338922,3.85,1.323,245000,7.615555556,2.248042713,72.45555556,9.855851223,1.293333333,2.291954945,"Non-drought",0,"Spring",NA,NA,NA,0.96,"Original"
"5","X16S.17AprCD225","17AprCD2","CD","C",17,"April","17-Apr","D","25-30 cm",43.38282763,211.2747484,23.50044678,67.5080585,68.37419963,0.244969621,0.063686848,0.790157758,0.127373695,4.04,1.323,155000,7.615555556,2.248042713,72.45555556,9.855851223,1.293333333,2.291954945,"Non-drought",0,"Spring",NA,NA,NA,2.08,"Original"
"6","X16S.17AprCD305","17AprCD3","CD","C",17,"April","17-Apr","D","05-10 cm",41.56206416,299.0865394,34.26712411,111.0665513,77.73631862,0.064170644,0.064170644,1.698062815,0.256682578,3.85,1.323,236000,7.615555556,2.248042713,72.45555556,9.855851223,1.293333333,2.291954945,"Non-drought",0,"Spring",NA,NA,NA,0.79,"Original"
"7","X16S.17AprCD315","17AprCD3","CD","C",17,"April","17-Apr","D","15-20 cm",40.74457084,247.0912827,31.85784031,96.21903141,52.29900524,0.16396288,0.06328534,0.945302377,0.253141361,4.05,1.323,134000,7.615555556,2.248042713,72.45555556,9.855851223,1.293333333,2.291954945,"Non-drought",0,"Spring",NA,NA,NA,1.17,"Original"
"8","X16S.17AprCD325","17AprCD3","CD","C",17,"April","17-Apr","D","25-30 cm",47.68599883,207.383337,28.36046289,69.82082336,47.77929446,0.262930934,0.067945527,1.311832526,0.067945527,4.04,1.323,234000,7.615555556,2.248042713,72.45555556,9.855851223,1.293333333,2.291954945,"Non-drought",0,"Spring",NA,NA,NA,2.6,"Original"
"9","X16S.17AprCW105","17AprCW1","CW","C",17,"April","17-Apr","W","05-10 cm",43.73596767,329.7708415,40.40961257,121.177196,94.90449266,0.064552097,0.064552097,10.48379087,0.516416774,4.7,5.2,1940000,7.615555556,2.248042713,72.45555556,9.855851223,1.293333333,2.291954945,"Non-drought",0,"Spring",NA,NA,NA,0.87,"Original"
"10","X16S.17AprCW115","17AprCW1","CW","C",17,"April","17-Apr","W","15-20 cm",37.42501154,430.1758684,57.45905973,218.4259292,64.85418695,0.059928097,0.059928097,8.244523281,0.359568584,4.4,5.2,815000,7.615555556,2.248042713,72.45555556,9.855851223,1.293333333,2.291954945,"Non-drought",0,"Spring",NA,NA,NA,1.06,"Original"
"11","X16S.17AprCW125","17AprCW1","CW","C",17,"April","17-Apr","W","25-30 cm",61.15437471,698.0393931,53.83520333,332.2711749,72.35511312,0.09372424,0.09372424,7.44519412,0.468621199,6.05,5.2,743000,7.615555556,2.248042713,72.45555556,9.855851223,1.293333333,2.291954945,"Non-drought",0,"Spring",NA,NA,NA,1.87,"Original"
"12","X16S.17AprCW205","17AprCW2","CW","C",17,"April","17-Apr","W","05-10 cm",60.31506258,535.0841904,60.51286537,197.8628272,152.0673334,0.091298831,0.091298831,6.708393709,0.456494156,4.7,5.2,7570000,7.615555556,2.248042713,72.45555556,9.855851223,1.293333333,2.291954945,"Non-drought",0,"Spring",NA,NA,NA,0.96,"Original"
"13","X16S.17AprCW215","17AprCW2","CW","C",17,"April","17-Apr","W","15-20 cm",46.439523,447.5786269,37.90477855,187.4303955,116.4594513,0.069321102,0.069321102,7.606003517,0.138642204,4.4,5.2,683000,7.615555556,2.248042713,72.45555556,9.855851223,1.293333333,2.291954945,"Non-drought",0,"Spring",NA,NA,NA,1.17,"Original"
"14","X16S.17AprCW225","17AprCW2","CW","C",17,"April","17-Apr","W","25-30 cm",66.96050776,1050.388919,73.01051112,393.2072203,392.9894735,0.108873414,0.108873414,5.933419219,0.544367068,6.05,5.2,991000,7.615555556,2.248042713,72.45555556,9.855851223,1.293333333,2.291954945,"Non-drought",0,"Spring",NA,NA,NA,1.76,"Original"
"15","X16S.17AprCW305","17AprCW3","CW","C",17,"April","17-Apr","W","05-10 cm",54.45205479,549.4583546,44.21884809,223.3803197,114.0481787,0.079932842,0.079932842,15.97405105,0.559529893,4.7,5.2,2200000,7.615555556,2.248042713,72.45555556,9.855851223,1.293333333,2.291954945,"Non-drought",0,"Spring",NA,NA,NA,1.01,"Original"
