"","L1","L2","L3","L4","L5"
"KO1","KEGG",NA,NA,NA,NA
"KO2","KEGG","Metabolism",NA,NA,NA
"KO3","KEGG","Metabolism","Carbohydrate metabolism",NA,NA
"KO4","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis",NA
"KO5","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K00001 alcohol dehydrogenase [EC:1.1.1.1]"
"KO6","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K00002 alcohol dehydrogenase (NADP+) [EC:1.1.1.2]"
"KO7","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K00016 L-lactate dehydrogenase [EC:1.1.1.27]"
"KO8","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K00114 alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]"
"KO9","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K00121 S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]"
"KO10","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K00128 aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]"
"KO11","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K00129 aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]"
"KO12","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K00131 glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]"
"KO13","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K00134 glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]"
"KO14","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K00138 aldehyde dehydrogenase [EC:1.2.1.-]"
"KO15","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K00149 aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3]"
"KO16","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K00150 glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]"
"KO17","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K00161 pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]"
"KO18","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K00162 pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]"
"KO19","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K00163 pyruvate dehydrogenase E1 component [EC:1.2.4.1]"
"KO20","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K00169 pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]"
"KO21","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K00170 pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]"
"KO22","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K00171 pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]"
"KO23","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K00172 pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]"
"KO24","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K00174 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]"
"KO25","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K00175 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]"
"KO26","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K00189 2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.7 1.2.7.1]"
"KO27","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K00382 dihydrolipoamide dehydrogenase [EC:1.8.1.4]"
"KO28","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K00627 pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]"
"KO29","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K00844 hexokinase [EC:2.7.1.1]"
"KO30","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K00845 glucokinase [EC:2.7.1.2]"
"KO31","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K00850 6-phosphofructokinase 1 [EC:2.7.1.11]"
"KO32","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K00873 pyruvate kinase [EC:2.7.1.40]"
"KO33","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K00886 polyphosphate glucokinase [EC:2.7.1.63]"
"KO34","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K00895 diphosphate-dependent phosphofructokinase [EC:2.7.1.90]"
"KO35","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K00918 ADP-dependent phosphofructokinase/glucokinase [EC:2.7.1.146 2.7.1.147]"
"KO36","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K00927 phosphoglycerate kinase [EC:2.7.2.3]"
"KO37","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K01006 pyruvate, orthophosphate dikinase [EC:2.7.9.1]"
"KO38","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K01007 pyruvate, water dikinase [EC:2.7.9.2]"
"KO39","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K01084 glucose-6-phosphatase [EC:3.1.3.9]"
"KO40","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K01085 glucose-1-phosphatase [EC:3.1.3.10]"
"KO41","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K01086 fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]"
"KO42","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K01222 6-phospho-beta-glucosidase [EC:3.2.1.86]"
"KO43","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K01223 6-phospho-beta-glucosidase [EC:3.2.1.86]"
"KO44","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K01568 pyruvate decarboxylase [EC:4.1.1.1]"
"KO45","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K01596 phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]"
"KO46","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K01610 phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]"
