ID,GW_temp,GW_level,Site,Year,Month,Day,Date
CD_0017-09-27,11.40133333,-61.4935,CD,2017,9,27,9/27/2017
CD_0017-09-28,11.394375,-52.64979167,CD,2017,9,28,9/28/2017
CD_0017-09-29,11.381875,-51.56916667,CD,2017,9,29,9/29/2017
CD_0017-09-30,11.37895833,-52.74270833,CD,2017,9,30,9/30/2017
CD_0017-10-01,11.37020833,-53.8675,CD,2017,10,1,10/1/2017
CD_0017-10-02,11.37,-52.87666667,CD,2017,10,2,10/2/2017
CD_0017-10-03,11.37,-48.0878125,CD,2017,10,3,10/3/2017
CD_0017-10-04,11.37,-46.748125,CD,2017,10,4,10/4/2017
CD_0017-10-05,11.36979167,-26.18291667,CD,2017,10,5,10/5/2017
CD_0017-10-06,11.36677083,-15.210625,CD,2017,10,6,10/6/2017
CD_0017-10-07,11.36041667,-14.523125,CD,2017,10,7,10/7/2017
CD_0017-10-08,11.35864583,-13.33114583,CD,2017,10,8,10/8/2017
CD_0017-10-09,11.35041667,-15.30885417,CD,2017,10,9,10/9/2017
CD_0017-10-10,11.3453125,-15.22114583,CD,2017,10,10,10/10/2017
CD_0017-10-11,11.33572917,-11.00854167,CD,2017,10,11,10/11/2017
CD_0017-10-12,11.3215625,-12.5390625,CD,2017,10,12,10/12/2017
CD_0017-10-13,11.30552083,-13.77145833,CD,2017,10,13,10/13/2017
CD_0017-10-14,11.29145833,-14.01604167,CD,2017,10,14,10/14/2017
CD_0017-10-15,11.27645833,-14.34270833,CD,2017,10,15,10/15/2017
CD_0017-10-16,11.25947917,-14.93177083,CD,2017,10,16,10/16/2017
CD_0017-10-17,11.24375,-15.26083333,CD,2017,10,17,10/17/2017
CD_0017-10-18,11.2309375,-16.1175,CD,2017,10,18,10/18/2017
CD_0017-10-19,11.22,-16.53697917,CD,2017,10,19,10/19/2017
CD_0017-10-20,11.21229167,-16.566875,CD,2017,10,20,10/20/2017
CD_0017-10-21,11.20979167,-14.40020833,CD,2017,10,21,10/21/2017
CD_0017-10-22,11.20135417,-12.5525,CD,2017,10,22,10/22/2017
CD_0017-10-23,11.2,-14.27333333,CD,2017,10,23,10/23/2017
CD_0017-10-24,11.19177083,-13.82072917,CD,2017,10,24,10/24/2017
CD_0017-10-25,11.1865625,-10.27947917,CD,2017,10,25,10/25/2017
CD_0017-10-26,11.17989583,-13.09770833,CD,2017,10,26,10/26/2017
CD_0017-10-27,11.17572917,-13.22239583,CD,2017,10,27,10/27/2017
CD_0017-10-28,11.1671875,-13.13375,CD,2017,10,28,10/28/2017
CD_0017-10-29,11.1596875,-10.1503125,CD,2017,10,29,10/29/2017
CD_0017-10-30,11.15270833,-11.60364583,CD,2017,10,30,10/30/2017
CD_0017-10-31,11.14635417,-13.5625,CD,2017,10,31,10/31/2017
CD_0017-11-01,11.13489583,-12.9796875,CD,2017,11,1,11/1/2017
CD_0017-11-02,11.12395833,-12.0221875,CD,2017,11,2,11/2/2017
CD_0017-11-03,11.108125,-13.77333333,CD,2017,11,3,11/3/2017
CD_0017-11-04,11.09010417,-14.28552083,CD,2017,11,4,11/4/2017
CD_0017-11-05,11.06791667,-12.18489583,CD,2017,11,5,11/5/2017
CD_0017-11-06,11.0453125,-10.2784375,CD,2017,11,6,11/6/2017
CD_0017-11-07,11.0215625,-13.0096875,CD,2017,11,7,11/7/2017
CD_0017-11-08,10.99916667,-13.27854167,CD,2017,11,8,11/8/2017
CD_0017-11-09,10.97208333,-13.78104167,CD,2017,11,9,11/9/2017
CD_0017-11-10,10.94447917,-12.94958333,CD,2017,11,10,11/10/2017
CD_0017-11-11,10.91166667,-9.985208333,CD,2017,11,11,11/11/2017
